ID_URU,Nombre,Categoría,Grupo,Estado Verificación,Dirección
URU-00248,Carrito Super Lomo,Lomitería Foodcart,gastronomia,,"Sin dirección fija (food cart móvil), Entre Ríos"
URU-00267,OTRA HISTORIA BAR,Bar,gastronomia,,
URU-00268,Big Lola,Bar,gastronomia,,
URU-00269,Casa Coco café restó,Cafetería,gastronomia,,
URU-00270,Atelier London,Cafetería,gastronomia,,
URU-00271,Café Saravia,Cafetería,gastronomia,,
URU-00272,La Carmela,Restaurante,gastronomia,,
URU-00273,Parrilla El Monumento,Restaurante,gastronomia,,
URU-00274,Bajo Llave 929,Restaurante,gastronomia,,
URU-00275,Barro,Pizzería,gastronomia,,
URU-00276,Pizzeria Me Gusta,Pizzería,gastronomia,,
URU-00277,Parra Pizzeria,Pizzería,gastronomia,,
URU-00278,"Pizza Pronto VIP ""Al estilo italiano""",Pizzería,gastronomia,,
URU-00279,Pizzería Me Gusta: a la piedra,Pizzería,gastronomia,,
URU-00280,Víctor S. Cocina,Pizzería,gastronomia,,
URU-00281,"""La esquina""",Heladería,gastronomia,Verificado (auditoría web - fuente única),"Juan Domingo Perón 356, E3260 Concepción del Uruguay, Entre Ríos, Argentina"
URU-00283,Ricura Camp,Parrilla,gastronomia,Verificado (auditoría web múltiples fuentes),"Acceso A Rotonda s/n, E3260 Concepción del Uruguay, Entre Ríos, Argentina"
URU-00284,La Casa del Chef,Restaurante,gastronomia,Verificado (auditoría web - fuente única),"Bartolomé Mitre 246, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00285,Farmacia Entre Ríos,Farmacia,salud,Verificado (auditoría web múltiples fuentes),"Justo José de Urquiza 330, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00287,Farmacia Alberdi,Farmacia,salud,Verificado (auditoría web múltiples fuentes),"J.B. Alberdi 763, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00288,Farmacia Avenida,Farmacia,salud,Verificado (auditoría web múltiples fuentes),"Bv. Dr. Luis F. Aráoz 150-168, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00289,Farmacia San Martín,Farmacia,salud,Verificado (auditoría web múltiples fuentes),"San Martín 1451, E3260 Concepción del Uruguay, Entre Ríos, Argentina"
URU-00291,Farmacia Modelo,Farmacia,salud,Verificado (auditoría web múltiples fuentes),"Supremo Entrerriano 94, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00292,Farmacia Los Jazmines,Farmacia,salud,Verificado (auditoría web - fuente única),"Posadas 1350, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00293,Farmacia Yrigoyen,Farmacia,salud,Verificado (auditoría web múltiples fuentes),"Bv. Hipólito Yrigoyen 950, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00294,Farmacia Gargano,Farmacia,salud,Verificado (auditoría web - fuente única),"Gral. Galarza 1652, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00295,Clínica Uruguay SRL,Clínica,salud,Verificado (auditoría web múltiples fuentes),"Gral. Galarza 574, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00296,Cooperativa Médica Ltda,Clínica,salud,Verificado (auditoría web - fuente única),"14 de Julio 377, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00298,Consultorios Vita,Consultorio Médico,salud,Verificado (auditoría web múltiples fuentes),"Pablo Lorentz 2325, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00299,Cedyt SRL,Clínica,salud,Verificado (auditoría web múltiples fuentes),"Eva Duarte de Perón 181, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00300,Clínica De Ojos Concepción del Uruguay,Clínica,salud,Verificado (auditoría web múltiples fuentes),"Gral. Galarza 519, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00301,Alcec - Concepción del Uruguay,Centro de Salud,salud,Verificado (auditoría web múltiples fuentes),"Justo José de Urquiza 824, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00302,Centro De Salud Dr. Giacomotti,Centro de Salud,salud,Verificado (auditoría web múltiples fuentes),"Justo José de Urquiza 950, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00304,Laboratorio Bioquímico IZAGO,Laboratorio,salud,Verificado (auditoría web múltiples fuentes),"Gral. Galarza 922, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00305,Centro Bioquimico A y F Ansaldi - Carballo - Cabrera,Laboratorio,salud,"Verificado (auditoría web - fuente única, posible variación de nombre)","Leandro N. Alem 79, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00306,Laboratorio Uruguay,Laboratorio,salud,Verificado (auditoría web - fuente única),"Bv. Dr. Luis F. Aráoz 80, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00307,Laboratorio Gamma Nuclear,Laboratorio,salud,Verificado (auditoría web múltiples fuentes),"Gral. Galarza 1082, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00310,Clínica Bracco,Odontología,salud,"Verificado (auditoría web múltiples fuentes, sin dirección confirmada)",
URU-00312,Supermercado Maycon,Supermercado,compras,Verificado (auditoría web múltiples fuentes),"Bv. Dr. R. Uncal, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00313,Mayorista del Puerto,Supermercado mayorista,compras,Verificado (auditoría web múltiples fuentes),"Av. Costanera Paysandú, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00314,Maycon Autoservicio Mayorista,Supermercado mayorista,compras,Verificado (auditoría web múltiples fuentes),"RP39 y 33 del Oeste Norte, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00315,Supermercado MARTIN,Supermercado,compras,Verificado (auditoría web múltiples fuentes),"Blvd. 12 de Octubre 852, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00316,"Supermercado Unidos ""La Vaca Loca""",Supermercado,compras,Verificado (auditoría web - fuente única),"Bv. Ricardo Balbín 2099, Concepción del Uruguay, Entre Ríos, Argentina"
