Nombre,Grupo,Motivo
Pizzeria Me Gusta,gastronomia,Campo esencial faltante
"Pizza Pronto VIP ""Al estilo italiano""",gastronomia,Campo esencial faltante
Clínica Bracco,salud,Campo esencial faltante
Supermercados Dar,compras,Campo esencial faltante
Chipper Fitness Club,deporte,Campo esencial faltante
Titanium Real Evolution,deporte,Campo esencial faltante
Melina Firpo Estilista y Colorista,belleza,Campo esencial faltante
Glow Up Estética,belleza,Campo esencial faltante
Belleza y Estética Vitta,belleza,Campo esencial faltante
Amancay Estética y Nutrición,belleza,Campo esencial faltante
Roma Centro de estética,belleza,Campo esencial faltante
Plaza Sarmiento,naturaleza,Campo esencial faltante
Panza Verde Parador,gastronomia,FALTANTE
Kairós Indumentaria Argentina,compras,FALTANTE
Rock Tec Imprenta Textil,compras,FALTANTE
Trapos,compras,FALTANTE
Apartamento Plaza San Martín,alojamiento,FALTANTE
La Usina Fitness,deporte,FALTANTE
Entrenamiento Funcional Strong Training,deporte,FALTANTE
Ardoy & Haddad Abogados,finanzas,FALTANTE
Guillermo Andrés Heis - Contador,finanzas,FALTANTE
Inmobiliaria Jusid,finanzas,FALTANTE
Joyería París J. Akrich,compras,FALTANTE
Cantina Paso Corralito,gastronomia,FALTANTE
Eben Ezer Panadería,gastronomia,FALTANTE
Entre Churros Panaderías,gastronomia,FALTANTE
Panadería Comedor Mena,gastronomia,FALTANTE
La Peatonal,gastronomia,FALTANTE
Rotisería La Tía Cocina,gastronomia,FALTANTE
Rotisería El Bufé,gastronomia,FALTANTE
Rotisería Fendi,gastronomia,FALTANTE
Grow Brewery,gastronomia,FALTANTE
Jolie Sofi Comestibles,gastronomia,FALTANTE
La Vid es Bella,gastronomia,FALTANTE
Citra Bar,gastronomia,FALTANTE
Estudio Jurídico Mariana Lima y Asociados,finanzas,FALTANTE
Martínez Jorge Tito,finanzas,FALTANTE
Thea Juan A. y Pinilla Luis M.,finanzas,FALTANTE
Buffa María Magdalena,finanzas,FALTANTE
Estudio Contable Tourfini C. Mauricio,finanzas,FALTANTE
Silvina M. Praderio,finanzas,FALTANTE
Walter Barcos - Gestión Inmobiliaria,finanzas,FALTANTE
Morsentti Pamela V.,finanzas,FALTANTE
Dodera Claudia de Lourdes,finanzas,FALTANTE
Neuman Carlos Andrés,finanzas,FALTANTE
Nadia Vanina Telis,finanzas,FALTANTE
Video Juegos Star,compras,FALTANTE
Di-Ser Informática,compras,FALTANTE
Cluster Informática,compras,FALTANTE
GC Computers,compras,FALTANTE
AYG Computación,compras,FALTANTE
Trusted Informatics,compras,FALTANTE
Full Servis,compras,FALTANTE
Tec Support,compras,FALTANTE
Mjm Computación,compras,FALTANTE
Pc Tuning,compras,FALTANTE
Running PC,compras,FALTANTE
Electrans Reparaciones,compras,FALTANTE
LTV Service,compras,FALTANTE
Softec Servicio Técnico,compras,FALTANTE
PC Service,compras,FALTANTE
Impresión Global CdelU,compras,FALTANTE
Reco y Toto Publicidad,compras,FALTANTE
Neocolor S.R.L.,compras,FALTANTE
Plotter Factory,compras,FALTANTE
Plot Graphics,compras,FALTANTE
Impáctate Soluciones Gráficas,compras,FALTANTE
Bombieri MSI - Integración de Sistemas,compras,FALTANTE
Jona Electricidad,,Campo esencial faltante
Gasista Matriculado Gerardo Herlein,oficios_tecnicos,FALTANTE
"Chana - Obras, Servicios y Emprendimientos",oficios_tecnicos,FALTANTE
